Headline,Date,category
"
	            Israelische Landwirte verklagen Militär wegen Bestrahlung durch Iron Dome
	        ","
			23.07.2020 06:15 Uhr
		",naher osten
"
	            Erst abgewartet, dann abgerissen: Israelische Armee zerstört Corona-Zentrum in Palästinensergebiet
	        ","
			22.07.2020 19:31 Uhr
		",naher osten
"
	            Medienbericht: Mitbegründer der Weißhelme soll Hilfsgelder für Syrien veruntreut haben
	        ","
			20.07.2020 16:19 Uhr
		",naher osten
"
	            Als erste arabische Nation: Vereinigte Arabische Emirate schicken Sonde Richtung Mars
	        ","
			20.07.2020 15:36 Uhr
		",naher osten
"
	            Maximaler Druck, bevor es zu spät ist: Einige Anschläge im Iran gehen angeblich auf Mossad zurück
	        ","
			19.07.2020 17:54 Uhr
		",naher osten
"
	            Tausende Israelis demonstrieren gegen Corona-Politik der Regierung
	        ","
			19.07.2020 09:15 Uhr
		",naher osten
"
	            Saudischer Luftangriff auf Wohngebiet im Jemen – die meisten Opfer sind Frauen und Kinder (Video)
	        ","
			17.07.2020 15:39 Uhr
		",naher osten
"
	            Bürgerkriegsland Libyen: Parlament genehmigt Einmarsch ägyptischer Armee
	        ","
			14.07.2020 22:00 Uhr
		",naher osten
"
	            Vorläufiger Untersuchungsbericht zu Flugzeugabschuss im Iran: Menschliches Versagen auf allen Ebenen
	        ","
			13.07.2020 18:22 Uhr
		",naher osten
"
	            Weitere Serie von Explosionen und Stromausfällen in der Umgebung von Teheran
	        ","
			10.07.2020 10:10 Uhr
		",naher osten
"
	            UNO: Jemen aufgrund ausbleibender Hilfsgelder erneut am Rande einer Hungersnot
	        ","
			10.07.2020 06:00 Uhr
		",naher osten
"
	            Russland: Terrormilizen in Syrien bereiten erneut Anschläge mit chemischen Waffen vor
	        ","
			9.07.2020 17:52 Uhr
		",naher osten
"
	            Stärkung für Syriens Flugabwehr – Damaskus schließt neues Militärabkommen mit dem Iran ab
	        ","
			9.07.2020 15:45 Uhr
		",naher osten
"
	            Frankreich, Deutschland, Ägypten und Jordanien warnen Israel vor ""Konsequenzen"" einer Annexion
	        ","
			8.07.2020 21:54 Uhr
		",naher osten
"
	            Mysteriöse Explosionsserie im Iran: Führt die Spur wieder nach Israel?
	        ","
			8.07.2020 16:55 Uhr
		",naher osten
"
	            ""Völkerrechtswidrige Provokation"": Bagdad geißelt US-Raketentest – auf Botschaftsgelände
	        ","
			6.07.2020 11:59 Uhr
		",naher osten
"
	            Angriff oder Unfall? Mysteriöse Explosionsserie erschüttert den Iran
	        ","
			4.07.2020 15:47 Uhr
		",naher osten
"
	            Vereinte Nationen suspendieren Mitarbeiter nach Skandal um Sexvideo
	        ","
			4.07.2020 11:28 Uhr
		",naher osten
"
	            Israel: Annexion im Westjordanland bis auf Weiteres verschoben (Video)
	        ","
			3.07.2020 22:16 Uhr
		",naher osten
"
	            ""Sehr gefährliche Angelegenheit"" – Jordanien und Libanon warnen Israel vor Westjordanland-Annexion
	        ","
			3.07.2020 06:00 Uhr
		",naher osten
"
	            Proteste in New York: ""Wenn die das Jordantal annektieren, ist das der Dritte Weltkrieg""
	        ","
			2.07.2020 18:33 Uhr
		",naher osten
"
	            Menschenrechtsbeauftragte der UN: ""Israelische Annexion ist unzulässig. Punkt.""
	        ","
			1.07.2020 09:09 Uhr
		",naher osten
"
	            Iran will Trump verhaften – Interpol steht nicht zur Verfügung
	        ","
			30.06.2020 14:33 Uhr
		",naher osten
"
	            Wie Sanktionen aus Brüssel und Washington den Syrern die Zukunft stehlen
	        ","
			28.06.2020 08:45 Uhr
		",naher osten
"
	            ""Syrien hat sehr gut reagiert"" – Karin Leukefeld zur Corona-Lage im kriegsgebeutelten Land (Video)
	        ","
			27.06.2020 16:07 Uhr
		",naher osten
"
	            Israel greift nach Raketenangriff aus Gaza Hamas-Ziele an
	        ","
			27.06.2020 07:51 Uhr
		",naher osten
"
	            Syrien: Mehrere Tote bei israelischen und türkischen Luftangriffen
	        ","
			24.06.2020 20:48 Uhr
		",naher osten
"
	            ""Caesar-Gesetz"": USA wollen Syrien mit verschärften Sanktionen in die Knie zwingen
	        ","
			17.06.2020 18:14 Uhr
		",naher osten
"
	            UN-Menschenrechtsrat: Israels Annexionspläne sind Vision einer Apartheid des 21. Jahrhunderts
	        ","
			16.06.2020 15:18 Uhr
		",naher osten
"
	            Happy Birthday, Mr. President: Israel treibt Bau von ""Trump-Höhen"" auf annektiertem Golan voran
	        ","
			15.06.2020 17:18 Uhr
		",naher osten
"
	            Libanon: Ausschreitungen wegen Wirtschaftskrise halten an
	        ","
			13.06.2020 15:45 Uhr
		",naher osten
"
	            Außenminister Maas in Israel: Deutschland ist ""besorgt"" wegen Annexionsplänen
	        ","
			10.06.2020 15:00 Uhr
		",naher osten
"
	            Iran will mutmaßlichen CIA-Spion hinrichten
	        ","
			9.06.2020 22:42 Uhr
		",naher osten
"
	            Wie Israel die Bundesregierung kurz vor der Annexionsabstimmung an der Nase herumführt
	        ","
			9.06.2020 12:49 Uhr
		",naher osten
"
	            Saudische Finanzreserven schwinden aufgrund von Coronavirus-Pandemie und Ölmarkt-Kollaps
	        ","
			7.06.2020 07:00 Uhr
		",naher osten
"
	            ""Palestinian Lives Matter"" – Solidarität nach Tötung von unbewaffnetem Palästinenser durch Polizei
	        ","
			4.06.2020 11:25 Uhr
		",naher osten
"
	            Israelische Armee bereitet sich auf Unruhen im Westjordanland vor
	        ","
			30.05.2020 15:26 Uhr
		",naher osten
"
	            Als erster amtierender Ministerpräsident: Netanjahu steht in Israel vor Gericht
	        ","
			25.05.2020 18:59 Uhr
		",naher osten
"
	            Kurz vor Ende des Ramadan: Khashoggi-Söhne vergeben mutmaßlichen Tätern Ermordung ihres Vaters
	        ","
			25.05.2020 09:12 Uhr
		",naher osten
"
	            Mahmud Abbas: Palästina zieht sich aus allen Abkommen mit Israel und den USA zurück
	        ","
			21.05.2020 09:01 Uhr
		",naher osten
"
	            ""Ein weiteres glorreiches Kapitel des Zionismus"" – Für die EU naht der Tag der Wahrheit
	        ","
			20.05.2020 06:45 Uhr
		",naher osten
"
	            Iraker sauer: EU hisst Regenbogenfahne in Bagdad
	        ","
			19.05.2020 22:44 Uhr
		",naher osten
"
	            Für über zwei Milliarden US-Dollar: Boeing deckt Saudi-Arabien mit Raketen ein
	        ","
			15.05.2020 12:31 Uhr
		",naher osten
"
	            Corona-Krise lässt Gewinne von Ölkonzern Saudi Aramco abstürzen
	        ","
			14.05.2020 10:40 Uhr
		",naher osten
"
	            US-Außenminister Pompeo besucht Israel – Umstrittene Annexionspläne im Fokus
	        ","
			13.05.2020 09:51 Uhr
		",naher osten
"
	            Mikrochips für Kinder? – Israel diskutiert Wege zur Einhaltung des Distanzgebots (Video)
	        ","
			13.05.2020 06:45 Uhr
		",naher osten
"
	            ""Stabilitätsanker"" Saudi-Arabien: Dem absolutistischen Königreich geht das Geld aus
	        ","
			12.05.2020 14:59 Uhr
		",naher osten
"
	            Iranisches Marineschiff von ""friendly fire"" getroffen: 19 Tote laut Armee
	        ","
			11.05.2020 13:29 Uhr
		",naher osten
"
	            Kolonisierung der Westbank durch Israel: Verteidigungsminister erlaubt Häuserbau für 7.000 Familien
	        ","
			11.05.2020 09:55 Uhr
		",naher osten
"
	            Corona-Krise im Libanon: Hisbollah mobilisiert Geld und medizinische Hilfe gegen Pandemie
	        ","
			9.05.2020 08:00 Uhr
		",naher osten
"
	            Giftgaseinsatz im syrischen Duma: Dokumente überführen OPCW-Chef der Lüge
	        ","
			7.05.2020 18:51 Uhr
		",naher osten
